P_load1_MW,Q_load1_MVAr,P_load2_MW,Q_load2_MVAr,P_load4_MW,Q_load4_MVAr,P_solar_MW,Q_solar_MVAr,Vm_bus1_pu,Vm_bus2_pu,Vm_bus3_pu,Vm_bus4_pu,Va_bus1_deg,Va_bus2_deg,Va_bus3_deg,Va_bus4_deg,split
1.2811975,0.42706585,1.7437272,0.61030453,1.0189759,0.30569276,1.3129675,0.14142972,0.99535024,0.9923507,0.99407196,0.98978204,0.06878494,0.12596889,0.12730265,0.14767586,train
1.2954191,0.4318064,2.2711804,0.7949132,1.0200473,0.30601418,0.44901127,-0.25619355,0.99292094,0.98704356,0.9875859,0.98445827,0.10659211,0.20964119,0.23258026,0.23163839,train
1.5281217,0.5093739,1.9111942,0.668918,0.86248446,0.25874534,1.2641486,-0.16933599,0.9947665,0.99156845,0.99317616,0.9893944,0.10258807,0.19506995,0.21915105,0.21304837,train
1.6194037,0.53980124,1.9605023,0.68617576,0.85640717,0.25692216,0.5390118,-0.024330733,0.9933857,0.9887182,0.98941535,0.9865533,0.08331352,0.1505228,0.15681599,0.16847396,train
1.2236007,0.4078669,1.9478657,0.68175304,0.8477592,0.25432777,0.9189235,0.06461974,0.99473333,0.9908789,0.99208075,0.9887406,0.07161895,0.13361561,0.13689296,0.15126811,train
1.5454845,0.5151615,1.8466294,0.6463203,1.0951854,0.3285556,0.3179522,0.23038752,0.9929893,0.98769695,0.9881505,0.98492205,0.057180554,0.094390124,0.07934566,0.11817872,train
1.7019916,0.56733054,2.2031357,0.7710975,0.85280055,0.25584015,1.2356976,-0.21384753,0.9939328,0.9900892,0.991655,0.98793644,0.115568526,0.21991064,0.24712671,0.23771739,train
1.5670654,0.52235514,2.319636,0.81187266,1.1081243,0.33243728,1.1671036,-0.004832238,0.99345833,0.9887731,0.9902873,0.9859684,0.09934513,0.18720974,0.19813164,0.21125399,train
1.3077238,0.4359079,2.367371,0.8285799,1.0638986,0.31916955,0.7703932,0.13929889,0.99327403,0.98784244,0.9888679,0.98514766,0.076662816,0.14300074,0.13923351,0.16602205,train
1.772524,0.59084135,2.0867352,0.73035735,0.985459,0.29563773,1.1107196,-0.26251325,0.9935708,0.98943704,0.990834,0.9869459,0.11968232,0.22745155,0.25714886,0.24849242,train
1.360896,0.453632,2.0018415,0.70064455,0.88569546,0.26570863,1.082007,-0.079338185,0.99457824,0.9908165,0.99220514,0.9885819,0.0911824,0.17373468,0.1893622,0.19230403,train
1.384245,0.461415,2.3241103,0.8134386,1.0958269,0.32874808,0.6679214,0.2756782,0.993025,0.9874494,0.9883651,0.9846722,0.06389953,0.11298772,0.09793899,0.13680522,train
1.760414,0.5868047,1.610392,0.5636372,0.83095074,0.24928522,0.5677633,0.11955118,0.9938688,0.9900638,0.9908213,0.9879664,0.06539232,0.10758178,0.103343725,0.12486227,train
1.2672801,0.4224267,1.6071776,0.56251216,0.9853384,0.29560152,1.278492,0.16342123,0.9956125,0.9928985,0.9945781,0.9904165,0.0627381,0.11290795,0.11226914,0.13378006,train
1.3971608,0.46572027,1.6802824,0.5880988,0.8527755,0.25583264,0.4407312,-0.27509353,0.99403375,0.98969364,0.99022067,0.98754007,0.09529101,0.18206975,0.20622082,0.19989236,train
1.3485564,0.4495188,1.6441844,0.57546455,1.127522,0.3382566,1.3385019,-0.16988666,0.9951949,0.992147,0.9938496,0.98930275,0.09882443,0.19081163,0.21561961,0.21514042,train
1.47126,0.49041995,1.7946495,0.6281273,1.02908,0.30872402,0.78887814,0.19608666,0.99408233,0.98994833,0.991005,0.9873478,0.062377382,0.10754266,0.09970894,0.12961283,train
1.5677357,0.52257854,2.199841,0.76994437,1.0233568,0.30700704,0.6825434,0.1728381,0.9930536,0.9878839,0.98880094,0.98529243,0.0733707,0.12973146,0.12258292,0.1517668,train
1.5920289,0.53067625,2.2642283,0.7924799,0.9491132,0.28473395,1.2862006,0.15827079,0.99401385,0.9900428,0.9917363,0.9876455,0.08243075,0.14913195,0.14895451,0.1692659,train
1.2551849,0.41839498,1.8815618,0.6585466,0.85258913,0.25577673,1.0860101,-0.028696878,0.99503684,0.99161005,0.99301124,0.9894612,0.08152478,0.15475202,0.16660823,0.17249061,train
1.705802,0.56860065,2.3757265,0.8315042,1.0985492,0.32956478,0.3041479,0.07755728,0.9917419,0.98528254,0.9856935,0.9824922,0.08521392,0.15291406,0.14924078,0.17691523,train
1.3308437,0.44361457,1.936441,0.6777543,0.89163923,0.2674918,1.4148932,0.15839379,0.9953237,0.9923926,0.99424803,0.9901466,0.07129242,0.1303734,0.13142425,0.14901781,train
1.3257158,0.44190523,1.6140904,0.5649317,1.0908996,0.32726988,0.53641456,0.08207246,0.99409515,0.9896825,0.99039346,0.9869242,0.06445155,0.11547548,0.11374343,0.13905382,train
1.5130911,0.5043637,1.8295822,0.6403538,0.8908524,0.26725572,0.68012184,-0.001645203,0.9939676,0.98978144,0.9906644,0.9875315,0.07869933,0.14269906,0.14864233,0.16143765,train
1.7626611,0.58755374,1.849364,0.6472774,1.010604,0.3031812,1.4339266,-0.153368,0.99450195,0.99146134,0.99329096,0.9889116,0.108673915,0.20316543,0.22769299,0.22471471,train
1.6711382,0.55704606,1.7388648,0.6086027,0.95518893,0.2865567,0.92784107,-0.09227938,0.99412984,0.990458,0.99164563,0.98804635,0.09216953,0.1688374,0.18395671,0.18909873,train
1.4280481,0.47601604,2.0069177,0.7024212,0.9577289,0.28731868,1.1936176,-0.28568444,0.99446917,0.990714,0.9922124,0.9882965,0.11411812,0.22292125,0.25507313,0.24323192,train
1.4688504,0.4896168,2.267376,0.7935816,0.8736535,0.26209605,0.3957365,0.020933243,0.9928584,0.9872554,0.987775,0.98504335,0.08117429,0.14932,0.1508235,0.1677513,train
1.219183,0.40639433,2.2737994,0.7958298,0.9691215,0.29073647,1.1294916,-0.06576505,0.99429035,0.98989785,0.9913515,0.9874494,0.09473074,0.18489319,0.19999272,0.20551719,train
1.5984802,0.5328267,1.957847,0.6852464,0.8809242,0.26427728,1.1252382,0.081849106,0.9943649,0.9908269,0.99229836,0.9886045,0.08032292,0.14428507,0.14826815,0.16273898,train
1.2128143,0.40427142,1.9571174,0.6849911,0.83887655,0.25166297,0.5158042,0.23870936,0.99412996,0.98953027,0.9902408,0.9874116,0.050605733,0.0874322,0.073739685,0.1049258,train
1.4495548,0.48318493,2.001712,0.7005992,1.143666,0.3430998,0.3544562,0.016967673,0.99281543,0.9871218,0.9875872,0.98422176,0.079529196,0.14612599,0.14752679,0.17112434,train
1.6721808,0.5573936,2.2223804,0.77783316,0.89654005,0.26896203,1.1792443,-0.040602755,0.9938216,0.98978364,0.99130595,0.98751915,0.09940198,0.1848539,0.19855155,0.20372976,train
1.3594722,0.4531574,2.3029933,0.8060476,0.9928527,0.29785582,0.55329746,0.119517714,0.9930584,0.98747313,0.98821384,0.98495823,0.07445725,0.13694425,0.1325495,0.15825954,train
1.4826877,0.49422926,1.8844465,0.65955627,0.8157075,0.24471225,1.4182471,0.06922178,0.995271,0.99258375,0.9944282,0.9905303,0.08017712,0.14652522,0.15425393,0.16333804,train
1.7268022,0.57560074,2.3020551,0.80571926,1.0540909,0.31622723,0.83115226,-0.27659193,0.9926993,0.9874306,0.9884654,0.9847596,0.12240114,0.23470522,0.2628748,0.25750986,train
1.60274,0.5342467,2.168646,0.7590261,0.9016826,0.27050477,0.47299838,-0.2696854,0.9928156,0.9874341,0.9880051,0.9851511,0.10997485,0.21003182,0.23420268,0.22913569,train
1.401291,0.467097,1.894441,0.66305435,1.0926718,0.32780153,0.9695367,0.1043507,0.99419636,0.99005806,0.991333,0.9872962,0.07473474,0.13647759,0.13727368,0.16007875,train
1.227005,0.40900168,2.0327387,0.7114585,0.97625935,0.2928778,0.45557505,-0.19036163,0.9935484,0.98828316,0.98884445,0.9858125,0.09363392,0.18240926,0.2003965,0.20328283,train
1.5943414,0.5314471,2.0180826,0.7063289,1.0279447,0.30838338,1.1289835,-0.24844119,0.99395096,0.9899115,0.99133384,0.98731375,0.11445001,0.2199193,0.2487087,0.24196388,train
1.4726459,0.49088195,1.8115222,0.6340328,1.1631948,0.34895843,1.4997388,0.2944369,0.99500126,0.99197,0.9939583,0.9890348,0.06417642,0.11142834,0.10314811,0.13662577,train
1.4391562,0.47971874,1.8301976,0.64056915,0.9606541,0.28819624,0.996678,0.25521484,0.9945447,0.99089915,0.99223334,0.98847467,0.058387894,0.09942913,0.08919662,0.11980169,train
1.3779535,0.45931783,1.6941171,0.592941,1.1243705,0.33731112,0.83902615,-0.021000965,0.99428445,0.9902047,0.9912897,0.9873628,0.08073,0.15026605,0.15919244,0.17462525,train
1.520709,0.506903,2.1174374,0.7411031,0.98895746,0.29668725,0.47908464,0.23163427,0.9930131,0.9876992,0.9883622,0.98519474,0.062379047,0.10647414,0.09290855,0.12768385,train
1.4922072,0.4974024,2.1169462,0.7409312,0.8772873,0.2631862,1.1881089,-0.07663876,0.9943468,0.99057347,0.9921,0.98835963,0.09692169,0.18343703,0.19989498,0.2018141,train
1.4479033,0.48263443,1.6530567,0.5785699,1.0918796,0.32756385,1.3556516,0.20859496,0.9951826,0.99231845,0.99410605,0.989565,0.06554602,0.11500846,0.11174473,0.1384704,train
1.6800597,0.5600199,2.3455958,0.8209585,1.1401763,0.3420529,0.8952794,0.16367608,0.99275815,0.9874626,0.9886545,0.9845724,0.08374727,0.15015034,0.1457609,0.1750447,train
1.2759637,0.42532122,2.0798597,0.72795093,0.92045873,0.27613762,0.32979122,0.25983602,0.9933718,0.98799187,0.9884656,0.98566246,0.05147926,0.08795153,0.07081278,0.10748592,train
1.2547586,0.4182529,1.6592206,0.5807272,1.1369853,0.3410956,1.4275923,0.075866535,0.99550986,0.9926484,0.994506,0.9897816,0.07583465,0.1421314,0.14945374,0.16666031,train
1.3574731,0.45249104,1.6520641,0.57822245,1.1706591,0.35119772,1.3458606,0.17362407,0.9951795,0.99212927,0.9938987,0.98917556,0.068181604,0.12290348,0.1221534,0.1482716,train
1.7377652,0.57925504,1.7407345,0.60925704,0.9422376,0.28267127,1.0902042,-0.050454635,0.9943097,0.99098766,0.99239147,0.98861015,0.09130813,0.16537689,0.1789171,0.18530142,train
1.587616,0.5292053,2.1402233,0.7490781,1.0789162,0.32367486,1.4576352,-0.15789601,0.99422175,0.9904927,0.992354,0.9877671,0.11313538,0.21711469,0.2422592,0.24036056,train
1.3021718,0.4340573,2.307421,0.80759734,1.0917614,0.32752842,0.58239436,0.23291858,0.99305034,0.9873391,0.9881367,0.98457193,0.06487903,0.11704893,0.104385935,0.1407736,train
1.5536801,0.5178934,1.8728724,0.65550536,1.1652533,0.349576,1.2904944,0.021806467,0.9943564,0.99071836,0.99239343,0.98777413,0.0897652,0.1661949,0.17626931,0.19151284,train
1.5708373,0.52361244,2.1699762,0.7594917,1.1836158,0.35508475,0.7471353,-0.060725987,0.992879,0.9875078,0.98846984,0.98450714,0.09777926,0.18374413,0.19482349,0.20969154,train
1.5390581,0.5130193,1.9745907,0.69110674,1.0611992,0.31835973,0.5403942,-0.14379077,0.9931222,0.98797786,0.98865724,0.98529035,0.09643462,0.18146434,0.19677915,0.20441309,train
1.7580348,0.5860116,2.187214,0.76552486,0.8434534,0.25303602,1.0004545,0.012395884,0.9935467,0.9893529,0.9906534,0.98722225,0.09245634,0.16754282,0.17554335,0.1851543,train
1.5812769,0.5270923,2.3993099,0.83975846,0.87135094,0.2614053,0.80221534,0.08336157,0.9931255,0.9880697,0.9891268,0.98586535,0.0850082,0.15518408,0.15593864,0.17352462,train
1.2255039,0.4085013,1.7537485,0.61381197,1.1155912,0.33467737,0.40573314,-0.10724516,0.99372774,0.98867357,0.9891839,0.98584956,0.08179847,0.15621357,0.16744989,0.1804442,train
1.537783,0.51259434,2.0297503,0.7104126,1.0800836,0.3240251,0.3773713,-0.20043203,0.9927165,0.9870842,0.98754287,0.9843461,0.101186216,0.19208296,0.2101148,0.21553743,train
1.4023231,0.46744102,1.605986,0.5620951,1.0423148,0.31269443,0.361148,0.27663735,0.9938173,0.98922616,0.98974276,0.98659,0.044890676,0.07044543,0.05239032,0.0928722,train
1.203395,0.40113166,1.6678971,0.583764,0.9510682,0.28532046,1.1763986,0.26658,0.9955316,0.99259156,0.9941572,0.9901956,0.051492974,0.08953663,0.080223255,0.10959998,train
1.4936789,0.49789298,1.6793042,0.5877565,1.1247318,0.33741954,0.54121614,-0.24089493,0.99357766,0.9888869,0.98955035,0.98604023,0.09948777,0.18920189,0.2117957,0.2136423,train
1.3036162,0.43453875,1.7753285,0.621365,0.8138258,0.24414773,1.2953837,-0.0210966,0.99554396,0.9928221,0.9944928,0.990774,0.081396684,0.15329257,0.16656491,0.17005083,train
1.3301172,0.44337243,2.3415942,0.819558,1.0344627,0.3103388,0.70232224,-0.16820389,0.99315166,0.9876205,0.9885062,0.985,0.10376505,0.20253003,0.22127019,0.22484824,train
1.6692035,0.5564012,1.6662735,0.5831957,0.8134269,0.24402808,0.8408601,0.14018759,0.99440795,0.9910637,0.99217707,0.9890129,0.06583863,0.11063346,0.10750093,0.12745148,train
1.5518684,0.5172895,2.2408571,0.78429997,0.9061209,0.27183628,0.35843807,0.09112137,0.9926612,0.9869897,0.98747283,0.9846944,0.07578719,0.13548617,0.131329,0.15471756,train
